slug,title,author,isbn,price,inventory,genre,format,description,image_url
"beneath-a-scarlet-sky-a-novel-1503902374","Beneath a Scarlet Sky: A Novel","Mark Sullivan","1503902374","12.99","50","Genre Fiction","Paperback","Beneath a Scarlet Sky: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/4111r+BaTHL._SY344_BO1,204,203,200_.jpg"
"1984-9780451524935","1984","George Orwell","9780451524935","7.48","50","Genre Fiction","Hardcover","1984 is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41DoIQLHzlL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-guest-list-a-novel-0062868942","The Guest List: A Novel","Lucy Foley","0062868942","13.09","50","Mystery, Thriller & Suspense","Hardcover","The Guest List: A Novel is a highly reviewed Amazon bestselling mystery, thriller & suspense title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/514elGDUfjS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"all-the-light-we-cannot-see-1476746583","All the Light We Cannot See","Anthony Doerr","1476746583","14.53","50","Genre Fiction","Paperback","All the Light We Cannot See is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51D5+B0e8hL._SY344_BO1,204,203,200_.jpg"
"all-the-light-we-cannot-see-a-novel-1501173219","All the Light We Cannot See: A Novel","Anthony Doerr","1501173219","10.74","50","Genre Fiction","Hardcover","All the Light We Cannot See: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51uG-IHat3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"to-kill-a-mockingbird-0060935464","To Kill a Mockingbird","Harper Lee","0060935464","7.19","50","Genre Fiction","Hardcover","To Kill a Mockingbird is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51IXWZzlgSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"to-kill-a-mockingbird-50th-anniversary-edition-0062420704","To Kill a Mockingbird, 50th Anniversary Edition","Harper Lee","0062420704","21.22","50","Genre Fiction","Paperback","To Kill a Mockingbird, 50th Anniversary Edition is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51Dv42myl0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"how-to-win-friends-and-influence-people-1439167346","How to Win Friends and Influence People","Dale Carnegie","1439167346","18.39","50","Self-Help","Paperback","How to Win Friends and Influence People is a highly reviewed Amazon bestselling self-help title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/516c0M+4C+L._SY344_BO1,204,203,200_.jpg"
"little-fires-everywhere-9780735224292","Little Fires Everywhere","Celeste Ng","9780735224292","12.69","50","Genre Fiction","Paperback","Little Fires Everywhere is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51XWy95kQjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"little-fires-everywhere-a-novel-0735224315","Little Fires Everywhere: A Novel","Celeste Ng","0735224315","10.20","50","Genre Fiction","Hardcover","Little Fires Everywhere: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51KTHTD6K6L._SY291_BO1,204,203,200_QL40_ML2_.jpg"
